Index,Tweets
1,"RT @CatioMiles: BBC doesn’t mention #Brexit at all! 

https://t.co/UoCx477weN"
2,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
3,"RT @LizWebsterLD: Things are about to get a lot worse for food supply in Britain. 

It’s tomatoes and cucumbers now. Potatoes likely will b…"
4,RT @SaveFOM: Don't be shy about standing up for your rights. Standing aside while others fight for theirs won't reserve you a place in a qu…
5,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
6,RT @winding_sios: @thecarolemalone Carole has singularly failed to board her own advice to do some research on #Brexit by talking to people…
7,@thecarolemalone Carole has singularly failed to board her own advice to do some research on #Brexit by talking to… https://t.co/nH8zLC9FnV
8,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
9,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
10,@emilybsci1 Plenty folk could see the writing on the wall- the far right hovering around trying to influence the… https://t.co/t9P9RfpPCY
11,RT @veloceuraptor: @DeborahMeaden Predicted months ago when Lea Valley sold up. #Brexit and #EnergyCrisis https://t.co/3izTGsAI17
12,"RT @CourierBoyUK: The Cost of #Brexit
What we could’ve had

#ToriesOut229 #GeneralElectionNow https://t.co/e2GfPdIMUY"
13,"RT @MarkTodd_pol: Benefits of Tory Hard #Brexit so far:
1) 4% loss in GDP worth £130billion a year
2) £50 billion a year loss in tax revenu…"
14,"RT @Jon_Danzig: 𝗪𝗘 𝗪𝗔𝗡𝗧 𝗢𝗨𝗥 𝗖𝗢𝗡𝗧𝗜𝗡𝗘𝗡𝗧 𝗕𝗔𝗖𝗞 - 𝟮-𝗺𝗶𝗻 𝘃𝗶𝗱𝗲𝗼

If the electorate agrees, we can undo #Brexit and get back together with our alli…"
15,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
16,"RT @Discorus: ""Post Brexit you'll see your food bills go down"" Yeah, because there's nothing on the shelves you fucking spanners. #Remoaner…"
17,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
18,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
19,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
20,RT @bilblogz: #Brexit https://t.co/OlP7wPPPEa
21,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
22,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
23,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
24,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
25,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
26,"RT @g_gosden: A neo Nazi white supremacist speaking in a church. That’s how far we’ve fallen down the far right #brexit rabbit hole. 

 htt…"
27,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
28,RT @carolJhedges: Your reminder: The ERG (or 'The Spartans' as thy preferred to be known) commissioned lawyer Bill Cash to pick through the…
29,"After our weekly catchup, James Blunt will continue to be my friend if I tell you all that under any no deal… https://t.co/WV0BzyvhL3"
30,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
31,"RT @jemmaforte: 100 Tory MPs are threatening to rebel over #NIProtocol 

While junior doctors are voting to strike. 

Food banks struggle.…"
32,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
33,How Much Brexit is Actually Costing the UK #brexit https://t.co/F6YuDWSKIO via @YouTube
34,"RT @TobiFrenzen: 👉 How Leave won the #Brexit campaign...

Shocking excerpts from a series of interviews by Democracy Now, revealing in deta…"
35,RT @WistfulCass: @MHartleyJones #Farmers should've thought harder before voting #Brexit. I was stunned so many rural areas voted to kick th…
36,"RT @MFWitches: The British still don’t seem to understand it was Rupert Murdoch who caused #Brexit and who benefits from it most.

They’re…"
37,RT @davidagoodland: Great #Brexit Bonuses. No. 271.
38,"RT @bmay: Probably the greatest interview given in the run up to the #Brexit vote, because years later, it has all been entirely borne out…"
